E      ; sig
1114.451 ; 4.16684
1114.513 ; 4.170012
1114.574 ; 4.178513
1114.635 ; 4.193141
1114.696 ; 4.214685
1114.758 ; 4.244462
1114.819 ; 4.28225
1114.941 ; 4.385635
1115.07 ; 4.538649
1115.198 ; 4.736335
1115.455 ; 5.256519
1115.584 ; 5.560652
1115.712 ; 5.871425
1115.817 ; 6.120563
1115.898 ; 6.302279
1115.961 ; 6.434128
1116.0 ; 6.510642
1116.04 ; 6.584527
1116.144 ; 6.752069
1116.231 ; 6.861836
1116.318 ; 6.941631
1116.455 ; 7.004923
1116.592 ; 6.994999
1116.849 ; 6.814742
1116.977 ; 6.670974
1117.105 ; 6.508813
1117.234 ; 6.338828
1117.298 ; 6.255208
1117.362 ; 6.173409
1117.426 ; 6.094227
1117.49 ; 6.018289
1117.554 ; 5.946062
1117.618 ; 5.877864
1117.682 ; 5.813885
1117.746 ; 5.754197
1117.81 ; 5.698779
1117.874 ; 5.647528
1117.938 ; 5.600282
1118.002 ; 5.556833
1118.066 ; 5.516942
1118.13 ; 5.480352
1118.195 ; 5.446295
1118.259 ; 5.415551
1118.323 ; 5.387314
1118.387 ; 5.36134
1118.451 ; 5.337396
1118.515 ; 5.31527
1118.579 ; 5.294767
1118.643 ; 5.275711
1118.708 ; 5.257676
1118.772 ; 5.241074
1118.836 ; 5.225494
1118.9 ; 5.210828
1119.028 ; 5.183862
1119.156 ; 5.159545
1119.285 ; 5.137229
1119.413 ; 5.116885
1119.541 ; 5.098047
1119.669 ; 5.080488
1119.925 ; 5.048528
1120.181 ; 5.019927
1120.548 ; 4.983348
1120.914 ; 4.950753
1121.28 ; 4.921014
1121.646 ; 4.893399
1122.012 ; 4.867359
1122.378 ; 4.842478
1123.11 ; 4.794979
1123.843 ; 4.748905
1124.575 ; 4.702935
1125.308 ; 4.655729
1126.04 ; 4.606295
1126.773 ; 4.553364
1127.139 ; 4.525277
1127.505 ; 4.495874
1127.871 ; 4.464986
1128.237 ; 4.432424
1128.603 ; 4.397986
1128.969 ; 4.361462
1129.336 ; 4.322561
1129.702 ; 4.281375
1130.068 ; 4.237819
1130.251 ; 4.215228
1130.434 ; 4.192192
1130.617 ; 4.16885
1130.8 ; 4.145419
1130.983 ; 4.122251
1131.166 ; 4.099909
1131.349 ; 4.07933
1131.532 ; 4.062126
1131.715 ; 4.051159
1131.898 ; 4.051656
1132.045 ; 4.066655
1132.118 ; 4.081562
1132.191 ; 4.103262
1132.264 ; 4.133585
1132.337 ; 4.174817
1132.41 ; 4.229795
1132.483 ; 4.302009
1132.557 ; 4.397166
1132.63 ; 4.517888
1132.703 ; 4.671433
1132.776 ; 4.865022
1132.85 ; 5.110747
1132.923 ; 5.411708
1132.996 ; 5.781747
1133.069 ; 6.232921
1133.143 ; 6.786537
1133.216 ; 7.441761
1133.289 ; 8.219898
1133.362 ; 9.135559
1133.436 ; 10.21867
1133.509 ; 11.4532
1133.582 ; 12.86402
1133.655 ; 14.45977
1133.738 ; 16.5052
1133.82 ; 18.76794
1133.903 ; 21.29528
1133.985 ; 24.00888
1134.15 ; 29.99824
1134.315 ; 36.38024
1134.489 ; 42.97349
1134.662 ; 48.70549
1134.766 ; 51.46846
1134.87 ; 53.56194
1135.0 ; 55.09706
1135.022 ; 55.23041
1135.094 ; 55.40512
1135.166 ; 55.18023
1135.31 ; 53.58109
1135.457 ; 50.54716
1135.604 ; 46.42008
1135.9 ; 36.4103
1136.048 ; 31.33817
1136.195 ; 26.66338
1136.266 ; 24.59384
1136.336 ; 22.69208
1136.406 ; 20.93532
1136.476 ; 19.32667
1136.547 ; 17.84573
1136.617 ; 16.53053
1136.687 ; 15.35306
1136.757 ; 14.30536
1136.828 ; 13.36577
1136.898 ; 12.55064
1136.968 ; 11.83551
1137.038 ; 11.21005
1137.109 ; 10.65694
1137.179 ; 10.18212
1137.249 ; 9.768401
1137.319 ; 9.407703
1137.386 ; 9.105387
1137.453 ; 8.839271
